Company,Status
Amazon,done
Microsoft,done
Google,done
Walmart,done
JPMorgan Chase,done
Oracle,done
Salesforce,done
Adobe,done
Atlassian,done
ServiceNow,done
Uber,done
LinkedIn,done
Intuit,done
PhonePe,done
Goldman Sachs,done
Cisco,done
Qualcomm,done
Quince,done
Docusign,done
UIPath,done
Meta Platforms,done
Apple,done
NVIDIA,done
Intel,done
AMD,done
Airbnb,done
Stripe,done
Twilio,done
Red Hat,done
Dell,done
Nutanix,done
InMobi,done
Meesho,done
Rubrik,done
Confluent,done
Okta,done
Palo Alto Networks,done
Pure Storage,done
Arista Networks,done
Synopsys,done
OpenAI,done
Anthropic,done
Expedia Group,done
Visa,done
Mastercard,done
American Express,done
Rippling,done
Bloomberg,done
Target,done
Lowe's,done
eBay,done
Indeed,done
MediaTek,done
Kotak,done
Cohesity,done
BlackRock,done
IBM,done
Cerebras,done
Ciena,done
Ericsson,done
EXL,done
Mercari,done
Infineon,done
NetApp,done
Harness,done
Merck,done
Omnissa,done
Tesco,done
SanDisk,done
Ixigo,done
Western Digital,done
Samsung,done
Scapia,done
Publicis Sapient,done
Outmarket AI,done
Wells Fargo,done
Deel,done
DP World,done
Arcesium,done
Arm,done
HPE,done
ThoughtSpot,done
Siemens,done
Optum,done
MakeMyTrip,done
Notion,done
Honeywell,done
Tower Research,done
NK Securities,done
EA,done
CHUBB,done
BCG,done
Waymo,done
Nike,done
Citi,done
Schneider,done
Glean,done
Capco,done
Emergent,done
PayPal,no software jobs in india
Dropbox,Non-India
CRED,no sde jobs
Palantir Technologies,non-india
MathWorks,AKAMAI BOT!
Applied Materials,a lot of other engg roles (mech electrical)
Pega,cloudflare protection
Mobisy / Bizom,trash website
Porter,cant find openings
Bosch,slow website
Augnito,no software openings
Angel One,no openings available
Ampere,cloudflare anti bot
Micron,mostly hardware roless
Natoma,no jobs available
DataWeave,no jobs available
Media.net,cant see openings check later
ClearTrip,cant see openings
HRT,no software jobs in india
NATWEST,cloudflare protection
Wayfair,anti bot protection
Crunchyroll,cloudflare anti bot
Flipkart, weird site
Myntra,Flutter Site + (possibly) bot protection
Razorpay,Done
SAP,Done
Netflix,Done
Snowflake,No sde jobs in india
Databricks,Done
Cloudflare, NO sde jobs india
MongoDB,Done
Broadcom,Done
Workday,Done
HubSpot,NO sde jobs in india
Shopify,No direct job listing
Freshworks,Done
Swiggy,Done
Zomato,Only Referrals - research on it
Groww,NO sde jobs
Postman,Done
BrowserStack,Done
ShareChat,NO sde jobs
Gojek,No jobs in india
JFrog,Done
Elastic,NO sde roles
CrowdStrike,Done
Cadence Design Systems,Done
Scale AI,No sde jobs
Axtria,No SDE JOBS
Akamai,Done
HSBC,No sde open jobs
DE Shaw & Co,NO open jobs for sde as of now
Morgan Stanley, No SDE jobs in india
Juspay,
Zeta,Done
PineLabs,
PayU,Done
GitLab,Done
Dynatrace,Done
Zscaler,Done
Texas Instruments,Done
Marvell Technologies,Done
Agoda,Done
Navi,Done
Acko,Done
JumpCloud,Done
HighLevel,Done
Jio,No SDE roles
Aspen Technologies,Done
Harman,Done
RingCentral,Done
Symphony AI,Done
Bloomreach,Done
Dolby Laboratories,Done
Roku,Done
Slice,Done
Deutsche Bank,Done
Splunk,NO sde jobs
Hevodata,Done
ByteDance,Done
Atlan,Done
Zebra Technologies,Done
Nykaa,NO sde openings
Chargebee,No job portal only linkedin
CleverTap,Done
Graviton research,No jobs india
Cloudera,Done
Sprinklr,Done
Zoom,Done
Whatfix,Done
BNY Mellon,
Amagi Media,
Wayground,
Info Edge,
Datadog,
Samsara,
Dream11,NO jobs
Ola,No Jobs
Grab,
Coinbase,
Trilogy,
Capital One,
Snap Inc,
Unacademy,
Cure.fit,
ClearTax,
BharatPe,
Schrodinger,
SentinelOne,
note: find more companies, especially startups
